Date,Open,High,Low,Close,Volume,Company
2024-03-23,15.4,16.2,15.4,16.0,1090426.0,SINGER (SRI LANKA) PLC
2024-03-24,15.4,16.2,15.4,16.0,1090426.0,SINGER (SRI LANKA) PLC
2024-03-25,15.9,15.9,15.5,15.8,118014.0,SINGER (SRI LANKA) PLC
2024-03-26,15.8,16.3,15.5,16.0,1277336.0,SINGER (SRI LANKA) PLC
2024-03-27,16.0,16.1,15.8,16.0,520184.0,SINGER (SRI LANKA) PLC
2024-03-28,16.0,16.2,16.0,16.1,937967.0,SINGER (SRI LANKA) PLC
2024-03-29,16.0,16.2,16.0,16.1,937967.0,SINGER (SRI LANKA) PLC
2024-03-30,16.0,16.2,16.0,16.1,937967.0,SINGER (SRI LANKA) PLC
2024-03-31,16.0,16.2,16.0,16.1,937967.0,SINGER (SRI LANKA) PLC
2024-04-01,16.2,16.4,16.1,16.4,494942.0,SINGER (SRI LANKA) PLC
2024-04-02,16.4,17.3,16.4,17.1,3155739.0,SINGER (SRI LANKA) PLC
2024-04-03,17.2,17.8,16.9,17.6,2116453.0,SINGER (SRI LANKA) PLC
2024-04-04,17.8,17.9,17.4,17.5,396473.0,SINGER (SRI LANKA) PLC
2024-04-05,17.4,17.5,16.9,17.4,547370.0,SINGER (SRI LANKA) PLC
2024-04-06,17.4,17.5,16.9,17.4,547370.0,SINGER (SRI LANKA) PLC
2024-04-07,17.4,17.5,16.9,17.4,547370.0,SINGER (SRI LANKA) PLC
2024-04-08,17.5,17.5,16.8,16.8,255343.0,SINGER (SRI LANKA) PLC
2024-04-09,16.8,17.3,16.7,17.2,452596.0,SINGER (SRI LANKA) PLC
2024-04-10,17.2,17.2,16.9,17.0,908578.0,SINGER (SRI LANKA) PLC
2024-04-11,17.2,17.2,16.9,17.0,908578.0,SINGER (SRI LANKA) PLC
2024-04-12,17.2,17.2,16.9,17.0,908578.0,SINGER (SRI LANKA) PLC
2024-04-14,17.2,17.2,16.9,17.0,908578.0,SINGER (SRI LANKA) PLC
2024-04-16,16.7,17.1,16.7,16.7,193322.0,SINGER (SRI LANKA) PLC
2024-04-18,17.0,17.0,16.4,16.8,308798.0,SINGER (SRI LANKA) PLC
2024-04-19,16.6,16.7,16.6,16.6,344543.0,SINGER (SRI LANKA) PLC
